,lifeslice.emotions.valence,imessage.sentiment.comparative,facebook.sentiment.comparative,dayone.sentiment.comparative,lifeslice.appearance.age
2010-01-01,,,,0.09255439691510747,
2010-01-02,,,,0.09255439691510747,
2010-01-03,,,,0.09255439691510747,
2010-01-04,,,,0.09255439691510747,
2010-01-05,,,,0.09255439691510747,
2010-01-06,,,,0.09255439691510747,
2010-01-07,,,,0.09255439691510747,
2010-01-08,,,,0.09255439691510747,
2010-01-09,,,,0.09255439691510747,
2010-01-10,,,,0.09255439691510747,
2010-01-11,,,,0.09255439691510747,
2010-01-12,,,,0.09255439691510747,
2010-01-13,,,,0.09255439691510747,
2010-01-14,,,,0.09255439691510747,
2010-01-15,,,,0.09255439691510747,
2010-01-16,,,,0.09255439691510747,
2010-01-17,,,,0.09255439691510747,
2010-01-18,,,,0.09255439691510747,
2010-01-19,,,,0.09255439691510747,
2010-01-20,,,,0.09255439691510747,
2010-01-21,,,,0.09255439691510747,
2010-01-22,,,,0.09255439691510747,
2010-01-23,,,,0.09255439691510747,
2010-01-24,,,,0.09255439691510747,
2010-01-25,,,,0.09255439691510747,
2010-01-26,,,,0.09255439691510747,
2010-01-27,,,,0.09255439691510747,
2010-01-28,,,,0.09255439691510747,
2010-01-29,,,,0.09255439691510747,
2010-01-30,,,,0.09255439691510747,
2010-01-31,,,,0.09255439691510747,
2010-02-01,,,,0.09255439691510747,
2010-02-02,,,,0.09255439691510747,
2010-02-03,,,,0.09255439691510747,
2010-02-04,,,,0.09255439691510747,
2010-02-05,,,,0.09255439691510747,
2010-02-06,,,,0.09255439691510747,
2010-02-07,,,,0.09255439691510747,
2010-02-08,,,,0.09255439691510747,
2010-02-09,,,,0.09255439691510747,
2010-02-10,,,,0.09255439691510747,
2010-02-11,,,,0.09255439691510747,
2010-02-12,,,,0.09255439691510747,
2010-02-13,,,,0.09255439691510747,
2010-02-14,,,,0.09255439691510747,
2010-02-15,,,,0.09255439691510747,
2010-02-16,,,,0.09255439691510747,
2010-02-17,,,,0.09255439691510747,
2010-02-18,,,,0.09255439691510747,
2010-02-19,,,,0.09255439691510747,
2010-02-20,,,,0.09255439691510747,
2010-02-21,,,,0.09255439691510747,
2010-02-22,,,,0.09255439691510747,
2010-02-23,,,,0.09255439691510747,
2010-02-24,,,,0.09255439691510747,
2010-02-25,,,,0.09255439691510747,
2010-02-26,,,,0.09255439691510747,
2010-02-27,,,,0.09255439691510747,
